i, j, k, f
0.475000 0.750000 0.200000 0.000012
0.525000 0.750000 0.200000 0.000012
0.575000 0.750000 0.200000 0.000012
0.625000 0.750000 0.200000 0.000012
0.675000 0.750000 0.200000 0.000011
0.725000 0.750000 0.200000 0.000011
0.775000 0.750000 0.200000 0.000010
0.825000 0.750000 0.200000 0.000009
0.875000 0.750000 0.200000 0.000007
0.925000 0.750000 0.200000 0.000005
0.975000 0.750000 0.200000 0.000003
0.025000 0.800000 0.200000 0.000004
0.075000 0.800000 0.200000 0.000005
0.125000 0.800000 0.200000 0.000005
0.175000 0.800000 0.200000 0.000007
0.225000 0.800000 0.200000 0.000008
0.275000 0.800000 0.200000 0.000009
0.325000 0.800000 0.200000 0.000009
0.375000 0.800000 0.200000 0.000009
0.425000 0.800000 0.200000 0.000009
0.475000 0.800000 0.200000 0.000010
0.525000 0.800000 0.200000 0.000010
0.575000 0.800000 0.200000 0.000009
0.625000 0.800000 0.200000 0.000009
0.675000 0.800000 0.200000 0.000009
0.725000 0.800000 0.200000 0.000009
0.775000 0.800000 0.200000 0.000008
0.825000 0.800000 0.200000 0.000007
0.875000 0.800000 0.200000 0.000005
0.925000 0.800000 0.200000 0.000005
0.975000 0.800000 0.200000 0.000004
0.025000 0.850000 0.200000 -0.000000
0.075000 0.850000 0.200000 0.000004
0.125000 0.850000 0.200000 0.000004
0.175000 0.850000 0.200000 0.000005
0.225000 0.850000 0.200000 0.000006
0.275000 0.850000 0.200000 0.000006
0.325000 0.850000 0.200000 0.000007
0.375000 0.850000 0.200000 0.000007
0.425000 0.850000 0.200000 0.000007
0.475000 0.850000 0.200000 0.000007
0.525000 0.850000 0.200000 0.000007
0.575000 0.850000 0.200000 0.000007
0.625000 0.850000 0.200000 0.000007
0.675000 0.850000 0.200000 0.000007
0.725000 0.850000 0.200000 0.000007
0.775000 0.850000 0.200000 0.000006
0.825000 0.850000 0.200000 0.000005
0.875000 0.850000 0.200000 0.000004
0.925000 0.850000 0.200000 0.000004
0.975000 0.850000 0.200000 -0.000000
0.025000 0.900000 0.200000 -0.000009
0.075000 0.900000 0.200000 -0.000006
0.125000 0.900000 0.200000 0.000005
0.175000 0.900000 0.200000 0.000006
0.225000 0.900000 0.200000 0.000005
0.275000 0.900000 0.200000 0.000004
0.325000 0.900000 0.200000 0.000005
0.375000 0.900000 0.200000 0.000005
0.425000 0.900000 0.200000 0.000005
